iter	Passed	Remaining
919	3746	325
920	3750	321
921	3754	317
922	3757	313
923	3761	309
924	3765	305
925	3769	301
926	3772	297
927	3776	292
928	3780	288
929	3784	284
930	3787	280
931	3792	276
932	3796	272
933	3800	268
934	3803	264
935	3807	260
936	3810	256
937	3815	252
938	3819	248
939	3822	244
940	3826	239
941	3830	235
942	3833	231
943	3837	227
944	3841	223
945	3845	219
946	3848	215
947	3852	211
948	3856	207
949	3860	203
950	3863	199
951	3867	194
952	3871	190
953	3876	186
954	3880	182
955	3884	178
956	3888	174
957	3891	170
958	3896	166
959	3900	162
960	3904	158
961	3908	154
962	3912	150
963	3916	146
964	3920	142
965	3924	138
966	3928	134
967	3932	129
968	3935	125
969	3939	121
970	3943	117
971	3947	113
972	3950	109
973	3954	105
974	3958	101
975	3961	97
976	3965	93
977	3969	89
978	3973	85
979	3977	81
980	3980	77
981	3984	73
982	3987	68
983	3993	64
984	3996	60
985	4000	56
986	4004	52
987	4007	48
988	4011	44
989	4014	40
990	4018	36
991	4022	32
992	4025	28
993	4029	24
994	4032	20
995	4036	16
996	4040	12
997	4044	8
998	4048	4
999	4051	0
